"PSTATABB
State abbreviation","PNAME
Plant name","OPRNAME
Plant operator name","LAT
Plant latitude","LON
Plant longitude","PLGENACL
Plant 2000 annual coal net generation (MWh)","PLGENAOL
Plant 2000 annual oil net generation (MWh)","PLGENAGS
Plant 2000 annual gas net generation (MWh)","PLGENANC
Plant 2000 annual nuclear net generation (MWh)","PLGENAHY
Plant 2000 annual hydro net generation (MWh)","PLGENABM
Plant 2000 annual biomass/ wood net generation (MWh)","PLGENAWI
Plant 2000 annual wind net generation (MWh)","PLGENASO
Plant 2000 annual solar net generation (MWh)","PLGENAGT
Plant 2000 annual geothermal net generation (MWh)","PLGENAOF
Plant 2000 annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)"
AK,COOPER LAKE,Chugach Electric Assn Inc,60.0656,151.6719,0.0,0.0,0.0,0.0,14263.0,0.0,0.0,0.0,0.0,0.0
AK,CRAIG,Alaska Power Co,55.5135,132.0062,0.0,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,DILLINGHAM,Nushagak Electric Coop Inc,58.2710,156.6659,0.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,DILLON PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,619.8,3268.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,EAGLE,Alaska Power Co,64.8557,146.2789,0.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,EEK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,EGEGIK,Egegik Light & Power Co,N/A,N/A,0.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,EIELSON AIR FORCE BASE CENTRAL HEAT,William J Harvard,64.8557,146.2789,74350.9,823.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,ELIM,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,EMMONAK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,2470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,FAIRBANKS,Golden Valley Elec Assn Inc,64.8557,146.2789,0.0,3054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
